term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1895	0.0490	0.0277	0.0061	0.0888	0.1065	0.7708	0.4015
tf	False	False	cosine	1,3,4,1	0.2123	0.0579	0.0296	0.0058	0.0999	0.1178	0.7666	0.4074
tf	False	False	cosine	1,1,1,4	0.1217	0.0369	0.0219	0.0061	0.0602	0.0783	0.7511	0.3605
tf	False	False	jaccard	1,1,1,1	0.1295	0.0401	0.0232	0.0063	0.0643	0.0792	0.7408	0.3595
tf	False	False	jaccard	1,3,4,1	0.1548	0.0565	0.0236	0.0061	0.0783	0.0915	0.7323	0.3612
tf	False	False	jaccard	1,1,1,4	0.1153	0.0338	0.0197	0.0056	0.0563	0.0727	0.6569	0.3046
tf	False	False	dice	1,1,1,1	0.1295	0.0401	0.0232	0.0064	0.0643	0.0792	0.7621	0.3650
tf	False	False	dice	1,3,4,1	0.1531	0.0563	0.0236	0.0062	0.0776	0.0925	0.7596	0.3702
tf	False	False	dice	1,1,1,4	0.1194	0.0356	0.0212	0.0060	0.0587	0.0752	0.7663	0.3579
tf	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0817	0.7605	0.3659
tf	False	False	overlap	1,3,4,1	0.1873	0.0761	0.0273	0.0065	0.0969	0.1094	0.7791	0.4012
tf	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0709	0.7473	0.3392
tf	False	True	cosine	1,1,1,1	0.2464	0.0878	0.0421	0.0079	0.1254	0.1366	0.8013	0.4676
tf	False	True	cosine	1,3,4,1	0.2665	0.0959	0.0496	0.0076	0.1374	0.1492	0.8079	0.4824
tf	False	True	cosine	1,1,1,4	0.1952	0.0658	0.0360	0.0082	0.0990	0.1121	0.7896	0.4393
tf	False	True	jaccard	1,1,1,1	0.1656	0.0718	0.0341	0.0093	0.0905	0.1028	0.7679	0.4218
tf	False	True	jaccard	1,3,4,1	0.1836	0.0827	0.0392	0.0096	0.1018	0.1114	0.7480	0.4152
tf	False	True	jaccard	1,1,1,4	0.1735	0.0567	0.0287	0.0091	0.0863	0.0992	0.6866	0.3741
tf	False	True	dice	1,1,1,1	0.1661	0.0719	0.0343	0.0093	0.0908	0.1040	0.7909	0.4282
tf	False	True	dice	1,3,4,1	0.1859	0.0841	0.0401	0.0098	0.1034	0.1141	0.7975	0.4389
tf	False	True	dice	1,1,1,4	0.1895	0.0736	0.0364	0.0095	0.0998	0.1107	0.8006	0.4445
tf	False	True	overlap	1,1,1,1	0.1838	0.0855	0.0375	0.0080	0.1022	0.1129	0.7897	0.4343
tf	False	True	overlap	1,3,4,1	0.2150	0.1011	0.0477	0.0092	0.1213	0.1297	0.7971	0.4457
tf	False	True	overlap	1,1,1,4	0.1502	0.0583	0.0325	0.0076	0.0803	0.0940	0.7804	0.4100
tf	True	False	cosine	1,1,1,1	0.2154	0.0947	0.0548	0.0088	0.1216	0.1333	0.8160	0.4588
tf	True	False	cosine	1,3,4,1	0.2110	0.0854	0.0353	0.0086	0.1106	0.1335	0.8117	0.4518
tf	True	False	cosine	1,1,1,4	0.1730	0.0706	0.0372	0.0090	0.0936	0.1084	0.7915	0.4233
tf	True	False	jaccard	1,1,1,1	0.1670	0.0749	0.0284	0.0077	0.0901	0.0992	0.7825	0.4020
tf	True	False	jaccard	1,3,4,1	0.1650	0.0637	0.0246	0.0078	0.0844	0.0964	0.7597	0.3847
tf	True	False	jaccard	1,1,1,4	0.1489	0.0413	0.0220	0.0074	0.0707	0.0861	0.6829	0.3354
tf	True	False	dice	1,1,1,1	0.1670	0.0750	0.0285	0.0078	0.0901	0.0992	0.8038	0.4078
tf	True	False	dice	1,3,4,1	0.1669	0.0794	0.0326	0.0082	0.0929	0.1043	0.8020	0.4072
tf	True	False	dice	1,1,1,4	0.1578	0.0530	0.0251	0.0080	0.0786	0.0927	0.8031	0.4028
tf	True	False	overlap	1,1,1,1	0.1405	0.0643	0.0279	0.0082	0.0776	0.0934	0.7896	0.3956
tf	True	False	overlap	1,3,4,1	0.1604	0.0603	0.0301	0.0089	0.0836	0.0996	0.8084	0.4251
tf	True	False	overlap	1,1,1,4	0.1187	0.0473	0.0264	0.0081	0.0641	0.0809	0.7769	0.3696
tf	True	True	cosine	1,1,1,1	0.2647	0.1178	0.0543	0.0115	0.1456	0.1610	0.8519	0.5128
tf	True	True	cosine	1,3,4,1	0.2519	0.1135	0.0551	0.0126	0.1402	0.1593	0.8530	0.5209
tf	True	True	cosine	1,1,1,4	0.2331	0.1094	0.0558	0.0188	0.1328	0.1474	0.8347	0.4878
tf	True	True	jaccard	1,1,1,1	0.2188	0.0991	0.0384	0.0095	0.1188	0.1295	0.8025	0.4547
tf	True	True	jaccard	1,3,4,1	0.1953	0.0824	0.0362	0.0126	0.1046	0.1206	0.7883	0.4370
tf	True	True	jaccard	1,1,1,4	0.1808	0.0706	0.0313	0.0086	0.0943	0.1073	0.6971	0.3835
tf	True	True	dice	1,1,1,1	0.2342	0.1294	0.0540	0.0099	0.1392	0.1459	0.8406	0.4759
tf	True	True	dice	1,3,4,1	0.2045	0.0982	0.0443	0.0132	0.1157	0.1309	0.8424	0.4679
tf	True	True	dice	1,1,1,4	0.2233	0.1221	0.0590	0.0110	0.1348	0.1414	0.8454	0.4851
tf	True	True	overlap	1,1,1,1	0.1741	0.0807	0.0414	0.0106	0.0987	0.1146	0.8300	0.4643
tf	True	True	overlap	1,3,4,1	0.2049	0.0905	0.0446	0.0104	0.1133	0.1259	0.8378	0.4737
tf	True	True	overlap	1,1,1,4	0.1608	0.0728	0.0379	0.0102	0.0905	0.1053	0.8207	0.4413
tfidf	False	False	cosine	1,1,1,1	0.4293	0.2360	0.1350	0.0591	0.2668	0.2547	0.8966	0.6306
tfidf	False	False	cosine	1,3,4,1	0.4403	0.2636	0.1445	0.0586	0.2828	0.2694	0.8952	0.6391
tfidf	False	False	cosine	1,1,1,4	0.3725	0.2061	0.1142	0.0414	0.2310	0.2255	0.8931	0.6106
tfidf	False	False	jaccard	1,1,1,1	0.4217	0.2423	0.1378	0.0577	0.2672	0.2575	0.8950	0.6324
tfidf	False	False	jaccard	1,3,4,1	0.4337	0.2727	0.1410	0.0590	0.2825	0.2711	0.8936	0.6413
tfidf	False	False	jaccard	1,1,1,4	0.3797	0.2158	0.1191	0.0421	0.2382	0.2312	0.8920	0.6139
tfidf	False	False	dice	1,1,1,1	0.4217	0.2423	0.1378	0.0577	0.2672	0.2575	0.8950	0.6324
tfidf	False	False	dice	1,3,4,1	0.4337	0.2727	0.1410	0.0590	0.2825	0.2711	0.8936	0.6413
tfidf	False	False	dice	1,1,1,4	0.3797	0.2158	0.1191	0.0421	0.2382	0.2312	0.8920	0.6139
tfidf	False	False	overlap	1,1,1,1	0.4646	0.2851	0.1697	0.0625	0.3064	0.2924	0.8948	0.6438
tfidf	False	False	overlap	1,3,4,1	0.4753	0.2926	0.1703	0.0697	0.3127	0.3004	0.8939	0.6536
tfidf	False	False	overlap	1,1,1,4	0.4087	0.2524	0.1315	0.0421	0.2642	0.2550	0.8923	0.6211
tfidf	False	True	cosine	1,1,1,1	0.4308	0.2420	0.1431	0.0621	0.2719	0.2583	0.8908	0.6342
tfidf	False	True	cosine	1,3,4,1	0.4401	0.2677	0.1505	0.0626	0.2861	0.2734	0.8906	0.6422
tfidf	False	True	cosine	1,1,1,4	0.3691	0.2117	0.1222	0.0425	0.2344	0.2275	0.8869	0.6137
tfidf	False	True	jaccard	1,1,1,1	0.4205	0.2465	0.1446	0.0604	0.2705	0.2615	0.8902	0.6362
tfidf	False	True	jaccard	1,3,4,1	0.4356	0.2769	0.1459	0.0629	0.2861	0.2743	0.8899	0.6445
tfidf	False	True	jaccard	1,1,1,4	0.3846	0.2202	0.1233	0.0431	0.2427	0.2348	0.8893	0.6190
tfidf	False	True	dice	1,1,1,1	0.4205	0.2465	0.1446	0.0604	0.2705	0.2615	0.8902	0.6362
tfidf	False	True	dice	1,3,4,1	0.4356	0.2769	0.1459	0.0629	0.2861	0.2743	0.8899	0.6445
tfidf	False	True	dice	1,1,1,4	0.3846	0.2202	0.1233	0.0431	0.2427	0.2348	0.8893	0.6190
tfidf	False	True	overlap	1,1,1,1	0.4698	0.2904	0.1764	0.0706	0.3122	0.2990	0.8907	0.6497
tfidf	False	True	overlap	1,3,4,1	0.4816	0.2958	0.1757	0.0732	0.3177	0.3059	0.8898	0.6570
tfidf	False	True	overlap	1,1,1,4	0.4181	0.2574	0.1401	0.0435	0.2719	0.2618	0.8878	0.6271
tfidf	True	False	cosine	1,1,1,1	0.4323	0.2531	0.1614	0.0691	0.2823	0.2772	0.9304	0.6613
tfidf	True	False	cosine	1,3,4,1	0.4682	0.2583	0.1681	0.0723	0.2982	0.2913	0.9312	0.6714
tfidf	True	False	cosine	1,1,1,4	0.4045	0.2358	0.1448	0.0646	0.2617	0.2606	0.9259	0.6399
tfidf	True	False	jaccard	1,1,1,1	0.4576	0.2675	0.1643	0.0650	0.2965	0.2937	0.9313	0.6668
tfidf	True	False	jaccard	1,3,4,1	0.4710	0.2717	0.1690	0.0696	0.3039	0.2969	0.9321	0.6777
tfidf	True	False	jaccard	1,1,1,4	0.4268	0.2395	0.1463	0.0607	0.2709	0.2704	0.9285	0.6475
tfidf	True	False	dice	1,1,1,1	0.4576	0.2675	0.1643	0.0650	0.2965	0.2937	0.9313	0.6668
tfidf	True	False	dice	1,3,4,1	0.4710	0.2717	0.1690	0.0696	0.3039	0.2969	0.9321	0.6777
tfidf	True	False	dice	1,1,1,4	0.4268	0.2395	0.1463	0.0607	0.2709	0.2704	0.9285	0.6475
tfidf	True	False	overlap	1,1,1,1	0.4776	0.3081	0.1859	0.0731	0.3238	0.3142	0.9304	0.6767
tfidf	True	False	overlap	1,3,4,1	0.5080	0.3127	0.1774	0.0766	0.3327	0.3190	0.9328	0.6895
tfidf	True	False	overlap	1,1,1,4	0.4328	0.2701	0.1591	0.0673	0.2874	0.2858	0.9247	0.6518
tfidf	True	True	cosine	1,1,1,1	0.4308	0.2527	0.1651	0.0699	0.2828	0.2792	0.9310	0.6666
tfidf	True	True	cosine	1,3,4,1	0.4724	0.2614	0.1717	0.0738	0.3018	0.2946	0.9322	0.6769
tfidf	True	True	cosine	1,1,1,4	0.3944	0.2305	0.1475	0.0645	0.2575	0.2584	0.9261	0.6442
tfidf	True	True	jaccard	1,1,1,1	0.4579	0.2700	0.1674	0.0657	0.2984	0.2956	0.9317	0.6718
tfidf	True	True	jaccard	1,3,4,1	0.4731	0.2735	0.1721	0.0716	0.3062	0.3025	0.9327	0.6833
tfidf	True	True	jaccard	1,1,1,4	0.4273	0.2423	0.1482	0.0609	0.2726	0.2713	0.9293	0.6523
tfidf	True	True	dice	1,1,1,1	0.4579	0.2700	0.1674	0.0657	0.2984	0.2956	0.9317	0.6718
tfidf	True	True	dice	1,3,4,1	0.4731	0.2735	0.1721	0.0716	0.3062	0.3025	0.9327	0.6833
tfidf	True	True	dice	1,1,1,4	0.4273	0.2423	0.1482	0.0609	0.2726	0.2713	0.9293	0.6523
tfidf	True	True	overlap	1,1,1,1	0.4611	0.3049	0.1913	0.0765	0.3191	0.3125	0.9319	0.6829
tfidf	True	True	overlap	1,3,4,1	0.5164	0.3153	0.1803	0.0781	0.3373	0.3228	0.9331	0.6945
tfidf	True	True	overlap	1,1,1,4	0.4363	0.2752	0.1627	0.0685	0.2914	0.2884	0.9264	0.6589
boolean	False	False	cosine	1,1,1,1	0.1895	0.0490	0.0277	0.0061	0.0888	0.1065	0.7708	0.4015
boolean	False	False	cosine	1,3,4,1	0.2123	0.0579	0.0296	0.0058	0.0999	0.1178	0.7666	0.4074
boolean	False	False	cosine	1,1,1,4	0.1217	0.0369	0.0219	0.0061	0.0602	0.0783	0.7511	0.3605
boolean	False	False	jaccard	1,1,1,1	0.1295	0.0401	0.0232	0.0063	0.0643	0.0792	0.7408	0.3595
boolean	False	False	jaccard	1,3,4,1	0.1548	0.0565	0.0236	0.0061	0.0783	0.0915	0.7323	0.3612
boolean	False	False	jaccard	1,1,1,4	0.1153	0.0338	0.0197	0.0056	0.0563	0.0727	0.6569	0.3046
boolean	False	False	dice	1,1,1,1	0.1295	0.0401	0.0232	0.0064	0.0643	0.0792	0.7621	0.3650
boolean	False	False	dice	1,3,4,1	0.1531	0.0563	0.0236	0.0062	0.0776	0.0925	0.7596	0.3702
boolean	False	False	dice	1,1,1,4	0.1194	0.0356	0.0212	0.0060	0.0587	0.0752	0.7663	0.3579
boolean	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0817	0.7605	0.3659
boolean	False	False	overlap	1,3,4,1	0.1873	0.0761	0.0273	0.0065	0.0969	0.1094	0.7791	0.4012
boolean	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0709	0.7473	0.3392
boolean	False	True	cosine	1,1,1,1	0.2464	0.0878	0.0421	0.0079	0.1254	0.1366	0.8013	0.4676
boolean	False	True	cosine	1,3,4,1	0.2665	0.0959	0.0496	0.0076	0.1374	0.1492	0.8079	0.4824
boolean	False	True	cosine	1,1,1,4	0.1952	0.0658	0.0360	0.0082	0.0990	0.1121	0.7896	0.4393
boolean	False	True	jaccard	1,1,1,1	0.1656	0.0718	0.0341	0.0093	0.0905	0.1028	0.7679	0.4218
boolean	False	True	jaccard	1,3,4,1	0.1836	0.0827	0.0392	0.0096	0.1018	0.1114	0.7480	0.4152
boolean	False	True	jaccard	1,1,1,4	0.1735	0.0567	0.0287	0.0091	0.0863	0.0992	0.6866	0.3741
boolean	False	True	dice	1,1,1,1	0.1661	0.0719	0.0343	0.0093	0.0908	0.1040	0.7909	0.4282
boolean	False	True	dice	1,3,4,1	0.1859	0.0841	0.0401	0.0098	0.1034	0.1141	0.7975	0.4389
boolean	False	True	dice	1,1,1,4	0.1895	0.0736	0.0364	0.0095	0.0998	0.1107	0.8006	0.4445
boolean	False	True	overlap	1,1,1,1	0.1838	0.0855	0.0375	0.0080	0.1022	0.1129	0.7897	0.4343
boolean	False	True	overlap	1,3,4,1	0.2150	0.1011	0.0477	0.0092	0.1213	0.1297	0.7971	0.4457
boolean	False	True	overlap	1,1,1,4	0.1502	0.0583	0.0325	0.0076	0.0803	0.0940	0.7804	0.4100
boolean	True	False	cosine	1,1,1,1	0.2154	0.0947	0.0548	0.0088	0.1216	0.1333	0.8160	0.4588
boolean	True	False	cosine	1,3,4,1	0.2110	0.0854	0.0353	0.0086	0.1106	0.1335	0.8117	0.4518
boolean	True	False	cosine	1,1,1,4	0.1730	0.0706	0.0372	0.0090	0.0936	0.1084	0.7915	0.4233
boolean	True	False	jaccard	1,1,1,1	0.1670	0.0749	0.0284	0.0077	0.0901	0.0992	0.7825	0.4020
boolean	True	False	jaccard	1,3,4,1	0.1650	0.0637	0.0246	0.0078	0.0844	0.0964	0.7597	0.3847
boolean	True	False	jaccard	1,1,1,4	0.1489	0.0413	0.0220	0.0074	0.0707	0.0861	0.6829	0.3354
boolean	True	False	dice	1,1,1,1	0.1670	0.0750	0.0285	0.0078	0.0901	0.0992	0.8038	0.4078
boolean	True	False	dice	1,3,4,1	0.1669	0.0794	0.0326	0.0082	0.0929	0.1043	0.8020	0.4072
boolean	True	False	dice	1,1,1,4	0.1578	0.0530	0.0251	0.0080	0.0786	0.0927	0.8031	0.4028
boolean	True	False	overlap	1,1,1,1	0.1405	0.0643	0.0279	0.0082	0.0776	0.0934	0.7896	0.3956
boolean	True	False	overlap	1,3,4,1	0.1604	0.0603	0.0301	0.0089	0.0836	0.0996	0.8084	0.4251
boolean	True	False	overlap	1,1,1,4	0.1187	0.0473	0.0264	0.0081	0.0641	0.0809	0.7769	0.3696
boolean	True	True	cosine	1,1,1,1	0.2647	0.1178	0.0543	0.0115	0.1456	0.1610	0.8519	0.5128
boolean	True	True	cosine	1,3,4,1	0.2519	0.1135	0.0551	0.0126	0.1402	0.1593	0.8530	0.5209
boolean	True	True	cosine	1,1,1,4	0.2331	0.1094	0.0558	0.0188	0.1328	0.1474	0.8347	0.4878
boolean	True	True	jaccard	1,1,1,1	0.2188	0.0991	0.0384	0.0095	0.1188	0.1295	0.8025	0.4547
boolean	True	True	jaccard	1,3,4,1	0.1953	0.0824	0.0362	0.0126	0.1046	0.1206	0.7883	0.4370
boolean	True	True	jaccard	1,1,1,4	0.1808	0.0706	0.0313	0.0086	0.0943	0.1073	0.6971	0.3835
boolean	True	True	dice	1,1,1,1	0.2342	0.1294	0.0540	0.0099	0.1392	0.1459	0.8406	0.4759
boolean	True	True	dice	1,3,4,1	0.2045	0.0982	0.0443	0.0132	0.1157	0.1309	0.8424	0.4679
boolean	True	True	dice	1,1,1,4	0.2233	0.1221	0.0590	0.0110	0.1348	0.1414	0.8454	0.4851
boolean	True	True	overlap	1,1,1,1	0.1741	0.0807	0.0414	0.0106	0.0987	0.1146	0.8300	0.4643
boolean	True	True	overlap	1,3,4,1	0.2049	0.0905	0.0446	0.0104	0.1133	0.1259	0.8378	0.4737
boolean	True	True	overlap	1,1,1,4	0.1608	0.0728	0.0379	0.0102	0.0905	0.1053	0.8207	0.4413
